GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
product,br.com.wise.commerce.product.application.controller,ProductResolver,0,121,0,8,0,29,0,12,0,8
product,br.com.wise.commerce.product.usecase.strategy.generatesku.implementation,SkuGeneratorStrategyImplementation,0,54,0,4,0,11,0,5,0,3
product,br.com.wise.commerce.product.converter,ProductConverter,0,95,0,0,0,39,0,5,0,5
product,br.com.wise.commerce.product.domain,Category,0,93,0,0,0,16,0,1,0,1
product,br.com.wise.commerce.product.domain,Product,0,4,0,0,0,2,0,1,0,1
product,br.com.wise.commerce.product.gateway.database,ProductJpaGateway,12,108,0,0,2,22,2,10,2,10
product,br.com.wise.commerce.product.usecase,FindProductsListByNameAndPaginationUseCase,0,7,0,0,0,1,0,1,0,1
product,br.com.wise.commerce.product.usecase,UpdateProductPriceUseCase,0,6,0,0,0,2,0,1,0,1
product,br.com.wise.commerce.product.usecase,UpdateProductDescriptionUseCase,0,6,0,0,0,2,0,1,0,1
product,br.com.wise.commerce.product.usecase,CreateProductUseCase,0,12,0,0,0,3,0,1,0,1
product,br.com.wise.commerce.product.usecase,DeleteProductByIdUseCase,0,5,0,0,0,2,0,1,0,1
product,br.com.wise.commerce.product.usecase,UpdateProductNameUseCase,0,6,0,0,0,2,0,1,0,1
product,br.com.wise.commerce.product.usecase,FindProductByIdUseCase,0,5,0,0,0,1,0,1,0,1
product,br.com.wise.commerce.product.application.controller.exceptions,ProductNotFoundException,0,4,0,0,0,2,0,1,0,1
product,br.com.wise.commerce.product.application.controller.exceptions,ProductException,0,4,0,0,0,2,0,1,0,1
product,br.com.wise.commerce.product,ProductApplication,5,3,0,0,2,1,1,1,1,1
product,br.com.wise.commerce.product.application.config.validation,EnumValueValidator,0,50,0,6,0,10,0,7,0,4
product,br.com.wise.commerce.product.application.dtos.request,ProductRequest,0,15,0,0,0,1,0,1,0,1
product,br.com.wise.commerce.product.application.dtos.response,ProductResponse,0,33,0,0,0,1,0,1,0,1
